Flight No.,"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Launch Site,Date,Time
1,F9 v1.07B0003.18,,Dragon Spacecraft Qualification Unit,0,LEO,SpaceX,Success,Failure,CCAFS,4 June 2010,18:45
2,F9 v1.07B0004.18,,Dragon,0,LEO,NASA,Success,Failure,CCAFS,8 December 2010,15:43
3,F9 v1.07B0005.18,,Dragon,525 kg,LEO,NASA,Success,"No attempt
",CCAFS,22 May 2012,07:44
4,F9 v1.07B0006.18,,SpaceX CRS-1,"4,700 kg",LEO,NASA,Success,No attempt,CCAFS,8 October 2012,00:35
5,F9 v1.07B0007.18,,SpaceX CRS-2,"4,877 kg",LEO,NASA,Success,"No attempt
",CCAFS,1 March 2013,15:10
6,F9 v1.17B10038,,CASSIOPE,500 kg,Polar orbit,MDA,Success,Uncontrolled,VAFB,29 September 2013,16:00
7,F9 v1.1,,SES-8,"3,170 kg",GTO,SES,Success,No attempt,CCAFS,3 December 2013,22:41
8,F9 v1.1,,Thaicom 6,"3,325 kg",GTO,Thaicom,Success,No attempt,CCAFS,6 January 2014,22:06
9,F9 v1.1,,SpaceX CRS-3,"2,296 kg",LEO,NASA,Success,Controlled,Cape Canaveral,18 April 2014,19:25
10,F9 v1.1,,Orbcomm-OG2,"1,316 kg",LEO,Orbcomm,Success,Controlled,Cape Canaveral,14 July 2014,15:15
11,F9 v1.1,,AsiaSat 8,"4,535 kg",GTO,AsiaSat,Success,No attempt,Cape Canaveral,5 August 2014,08:00
12,F9 v1.1[,,AsiaSat 6,"4,428 kg",GTO,AsiaSat,Success,"No attempt
",Cape Canaveral,7 September 2014,05:00
13,F9 v1.1[,,SpaceX CRS-4,"2,216 kg",LEO,NASA,Success,Uncontrolled,Cape Canaveral,21 September 2014,05:52
14,F9 v1.1[,,SpaceX CRS-5,"2,395 kg",LEO,NASA,Success,Failure ,Cape Canaveral,10 January 2015,09:47
15,F9 v1.1[,,DSCOVR,570 kg,HEO,USAF,Success,Controlled,Cape Canaveral,11 February 2015,23:03
16,F9 v1.1[,,ABS-3A,"4,159 kg",GTO,ABS,Success,No attempt,Cape Canaveral,2 March 2015,03:50
17,F9 v1.1[,,SpaceX CRS-6,"1,898 kg",LEO,NASA,Success,Failure,Cape Canaveral,14 April 2015,20:10
